target_r,strategy,prefix,J_k,D_k,R_k
1.0,adam-m-aware,7,0.01270793898021065,0.004406186512379001,2.884112813769507
1.0,adam-m-aware,8,0.014386651285493261,0.004548385627162085,3.163023645044287
1.0,adam-m-aware,9,0.01607955690172124,0.0046779848277300855,3.4372828245198863
1.0,adam-m-aware,10,0.017784031330556855,0.004797646356038036,3.706824140586127
1.0,adam-m-aware,11,0.01948150230160751,0.004907438072920654,3.9697907568323374
1.0,adam-m-aware,12,0.02117334792176951,0.005011138225138095,4.225257211137102
1.0,adam-m-aware,13,0.022851056333908767,0.005110729396350083,4.471192771471769
1.0,adam-m-aware,14,0.024537318533128013,0.0052096200685329925,4.710001537604953
1.0,adam-m-aware,15,0.026237831661857617,0.005305793768174676,4.94512844039245
1.0,adam-m-aware,16,0.0279489394307621,0.005397490368895358,5.17813604482301
1.0,adam-m-aware,17,0.02965896155730927,0.005487090873441547,5.4052251441403465
1.0,adam-m-aware,18,0.03140571851241843,0.005581209981114667,5.627044783960296
1.0,adam-m-aware,19,0.03322488625144516,0.00568397219718971,5.845363963580316
1.0,adam-m-aware,20,0.034825964560384955,0.005779755943807917,6.025507806725887
1.0,adam-m-aware,21,0.03645486857285316,0.005886683250148356,6.192768834969068
1.0,adam-m-aware,22,0.038146281299071286,0.005998754225348888,6.359033870378761
1.0,adam-m-aware,23,0.03987641471423562,0.006096385671392364,6.540992788785979
1.0,adam-m-aware,24,0.04167914399787374,0.006201784236401654,6.7205085519157715
1.0,adam-m-aware,25,0.04347492411052628,0.006298484843972005,6.902441648666372
1.0,adam-m-aware,26,0.0451637204920799,0.006394427825000937,7.062980727610807
1.0,adam-m-aware,27,0.046861026433200455,0.006484650406288094,7.226453778874468
1.0,adam-m-aware,28,0.0485555401899025,0.006575631890708062,7.384163377289365
1.0,adam-m-aware,29,0.05015373136315419,0.006657801351824522,7.533077169598927
1.0,adam-m-aware,30,0.05150244094107046,0.006744087965188067,7.636679890137562
1.0,adam-m-aware,31,0.05281887064790497,0.006837981014706054,7.724337130259714
1.0,adam-m-aware,32,0.0541932860725317,0.006926809917120547,7.823700479868181
1.0,adam-m-aware,33,0.0556611199657482,0.007016029574962363,7.933421512985396
1.0,adam-m-aware,34,0.05719320330623131,0.007096880830977409,8.05892118923384
1.0,adam-m-aware,35,0.05871617310820989,0.007175418340935283,8.182961650227142
1.0,adam-m-aware,36,0.060335443906496235,0.007267939057805872,8.301589133675398
1.0,adam-m-aware,37,0.0617882867165062,0.007346604854498183,8.410454616825408
1.0,adam-m-aware,38,0.06313624556333282,0.007424103194447804,8.50422521208352
1.0,adam-m-aware,39,0.06454142470247295,0.00750007288121377,8.605439670344634
1.0,adam-m-aware,40,0.06607355631955514,0.0075881816593412746,8.707429432480263
1.0,adam-m-aware,41,0.06736139528251513,0.007664061696563606,8.789255351730594
1.0,adam-m-aware,42,0.06871857651980724,0.007742894678709666,8.875049883961358
1.0,adam-m-aware,43,0.07027479339552369,0.0078221818779255,8.98403981040659
1.0,adam-m-aware,44,0.07183029909598977,0.007894962073911313,9.098244985033055
1.0,adam-m-aware,45,0.07329859772554045,0.00796079023554883,9.207452471015541
1.0,adam-m-aware,46,0.07476751305929398,0.008027145120565064,9.314334291496001
1.0,adam-m-aware,47,0.07630028975533243,0.008095475927599346,9.425053009571325
1.0,adam-m-aware,48,0.07784050784707781,0.008163962212457939,9.534648228564281
1.0,adam-m-aware,49,0.07907578865053214,0.008237304029035867,9.59971713703853
1.0,adam-m-aware,50,0.0803550493861357,0.00831181383167389,9.667570883256085
1.0,adam-m-aware,51,0.08176578310255979,0.008386903766738073,9.749221569327847
1.0,adam-m-aware,52,0.08329196247510859,0.008462889221936817,9.842024430522605
1.0,adam-m-aware,53,0.08478992950520252,0.00854121263836833,9.927153566498768
1.0,adam-m-aware,54,0.08635757792227647,0.008618581964472507,10.019928832638527
1.0,adam-m-aware,55,0.08804766139333238,0.008695654046142797,10.125478880152599
1.0,adam-m-aware,56,0.08960967528006393,0.008769008755684326,10.218905896516107
1.0,adam-m-aware,57,0.09117809027669838,0.008840786408712394,10.313346127992013
1.0,adam-m-aware,58,0.09268266175479167,0.008920628821963265,10.389700502569946
1.0,adam-m-aware,59,0.09382770276462597,0.008991796643336762,10.434811471649061
1.0,adam-m-aware,60,0.0948669395871816,0.009079040372236462,10.449005147865952
1.0,adam-m-aware,61,0.0960026994217658,0.009140769984560577,10.502692834840097
1.0,adam-m-aware,62,0.09719010680525449,0.009200540876717794,10.563521004639691
1.0,adam-m-aware,63,0.09832751609858223,0.009261508549890933,10.616792671399107
1.0,adam-m-aware,64,0.09949203986371233,0.009318342226987325,10.677010721453046
