stage,scope,metric,mean,std
early,degradation,G_J_delta_even,2.1467907808843853e-06,2.45453761819209e-07
early,bias_flat,output_bias_norm_corr,39641.88797234532,56.85000935648688
early,bias_flat,output_bias_norm_iid,39671.97754812605,56.77172113083895
early,bias_flat,bias_endpoint_error_corr,29.09616634214377,0.3447652267027399
early,bias_flat,bias_endpoint_error_iid,29.12653337762144,0.34465041883820646
early,bias_flat,raw_private_clean_gap_endpoint_corr,29.178155293250498,0.3433821385465417
early,bias_flat,raw_private_clean_gap_endpoint_iid,34.64906184953687,0.28400954841784304
early,bias_flat,raw_private_clean_response_norm_corr,56613.08085161899,39.13319518076904
early,bias_flat,raw_private_clean_response_norm_iid,56639.67686740074,35.957739035442714
early,bias_flat,probe_disagreement_norm_corr,1.3194780527737155,0.025564880525014037
early,bias_flat,probe_disagreement_norm_iid,0.6846284915857209,0.011096743377682185
early,bias_flat,probe_disagreement_relative_to_bias_corr,0.0032999501963742223,6.985748081833498e-05
early,bias_flat,probe_disagreement_relative_to_bias_iid,0.0016916068093364755,3.0197210763411544e-05
early,bias_flat,probe_disagreement_endpoint_corr,0.013278271272088573,0.0002634446693253879
early,bias_flat,probe_disagreement_endpoint_iid,0.0068127816993745404,0.00011121939399460359
early,bias_flat,probe_error_to_P3_D_corr,2.619697680805484e-06,1.0515021660154612e-07
early,bias_flat,probe_error_to_P3_D_iid,6.893651190110799e-07,2.2910745600586055e-08
early,bias_flat,probe_error_to_P3_endpoint_corr,0.0030375880181787566,6.005338510953279e-05
early,bias_flat,probe_error_to_P3_endpoint_iid,0.00018158504253569974,2.9979424830862082e-06
early,bias_flat,P3_reliable_corr,1.0,0.0
early,bias_flat,P3_reliable_iid,1.0,0.0
early,bias_flat,P3_reliable_paired,1.0,0.0
early,bias_flat,clean_pre_q_norm_min,0.00011888970523917426,1.43265250716795e-05
early,bias_flat,global_noise_signal_ratio_mean_corr,227.35980701774258,4.732455425517969
early,bias_flat,global_noise_signal_ratio_mean_iid,451.5643523435822,9.442403322162185
early,bias_flat,block_noise_signal_ratio_mean_corr,394.11656015927025,10.969384246471122
early,bias_flat,block_noise_signal_ratio_mean_iid,780.834783495087,21.073865493383828
early,bias_flat,block_noise_signal_ratio_max_corr,1575.5713022762968,228.92968671775466
early,bias_flat,block_noise_signal_ratio_max_iid,3149.363037948346,455.6350703880372
early,paired_reliability,paired_reliable_seed_count,3,0.0
early,paired_reliability,paired_reliable_fraction,1.0,0.0
early,stage_corr_linear,J,0.010892345694076657,7.94656173616011e-06
early,stage_corr_linear,D,0.09320656371565293,5.063685688183729e-06
early,stage_corr_linear,C,0.1168624337850465,8.904884694543473e-05
early,stage_corr_linear,G_C,0.9953972629577214,1.291252773982023e-06
early,stage_corr_linear,G_J,0.9989336956740198,5.080682543077959e-07
early,stage_corr_norm,J,0.012540132198782033,7.009220051875049e-06
early,stage_corr_norm,D,0.1071686926269585,1.1533258370329156e-07
early,stage_corr_norm,C,0.11701301834836215,6.535206311860936e-05
